releaseDate,FIPS,county,state,NONE,D0,D1,D2,D3,D4,validStart,validEnd,domStatisticFormatID
11/12/13,6001,Alameda County,CA,0,100,100,100,0,0,11/12/13,11/18/13,1
11/19/13,6001,Alameda County,CA,0,100,100,100,6.91,0,11/19/13,11/25/13,1
11/26/13,6001,Alameda County,CA,0,100,100,100,6.91,0,11/26/13,12/2/13,1
12/3/13,6001,Alameda County,CA,0,100,100,100,6.91,0,12/3/13,12/9/13,1
12/10/13,6001,Alameda County,CA,0,100,100,100,6.91,0,12/10/13,12/16/13,1
12/17/13,6001,Alameda County,CA,0,100,100,100,6.91,0,12/17/13,12/23/13,1
12/24/13,6001,Alameda County,CA,0,100,100,100,6.91,0,12/24/13,12/30/13,1
12/31/13,6001,Alameda County,CA,0,100,100,100,6.91,0,12/31/13,1/6/14,1
1/7/14,6001,Alameda County,CA,0,100,100,100,6.91,0,1/7/14,1/13/14,1
1/14/14,6001,Alameda County,CA,0,100,100,100,100,0,1/14/14,1/20/14,1
1/21/14,6001,Alameda County,CA,0,100,100,100,100,0,1/21/14,1/27/14,1
1/28/14,6001,Alameda County,CA,0,100,100,100,100,0,1/28/14,2/3/14,1
2/4/14,6001,Alameda County,CA,0,100,100,100,100,0,2/4/14,2/10/14,1
2/11/14,6001,Alameda County,CA,0,100,100,100,100,0,2/11/14,2/17/14,1
2/18/14,6001,Alameda County,CA,0,100,100,100,100,0,2/18/14,2/24/14,1
2/25/14,6001,Alameda County,CA,0,100,100,100,100,57.65,2/25/14,3/3/14,1
3/4/14,6001,Alameda County,CA,0,100,100,100,100,57.65,3/4/14,3/10/14,1
3/11/14,6001,Alameda County,CA,0,100,100,100,100,57.65,3/11/14,3/17/14,1
3/18/14,6001,Alameda County,CA,0,100,100,100,100,57.65,3/18/14,3/24/14,1
3/25/14,6001,Alameda County,CA,0,100,100,100,100,57.65,3/25/14,3/31/14,1
4/1/14,6001,Alameda County,CA,0,100,100,100,100,57.65,4/1/14,4/7/14,1
4/8/14,6001,Alameda County,CA,0,100,100,100,100,57.65,4/8/14,4/14/14,1
4/15/14,6001,Alameda County,CA,0,100,100,100,100,57.65,4/15/14,4/21/14,1
4/22/14,6001,Alameda County,CA,0,100,100,100,100,96.09,4/22/14,4/28/14,1
4/29/14,6001,Alameda County,CA,0,100,100,100,100,96.09,4/29/14,5/5/14,1
5/6/14,6001,Alameda County,CA,0,100,100,100,100,96.09,5/6/14,5/12/14,1
5/13/14,6001,Alameda County,CA,0,100,100,100,100,96.09,5/13/14,5/19/14,1
5/20/14,6001,Alameda County,CA,0,100,100,100,100,96.09,5/20/14,5/26/14,1
5/27/14,6001,Alameda County,CA,0,100,100,100,100,96.09,5/27/14,6/2/14,1
6/3/14,6001,Alameda County,CA,0,100,100,100,100,96.09,6/3/14,6/9/14,1
6/10/14,6001,Alameda County,CA,0,100,100,100,100,96.09,6/10/14,6/16/14,1
6/17/14,6001,Alameda County,CA,0,100,100,100,100,100,6/17/14,6/23/14,1
6/24/14,6001,Alameda County,CA,0,100,100,100,100,100,6/24/14,6/30/14,1
7/1/14,6001,Alameda County,CA,0,100,100,100,100,100,7/1/14,7/7/14,1
7/8/14,6001,Alameda County,CA,0,100,100,100,100,100,7/8/14,7/14/14,1
7/15/14,6001,Alameda County,CA,0,100,100,100,100,100,7/15/14,7/21/14,1
7/22/14,6001,Alameda County,CA,0,100,100,100,100,100,7/22/14,7/28/14,1
7/29/14,6001,Alameda County,CA,0,100,100,100,100,100,7/29/14,8/4/14,1
8/5/14,6001,Alameda County,CA,0,100,100,100,100,100,8/5/14,8/11/14,1
8/12/14,6001,Alameda County,CA,0,100,100,100,100,100,8/12/14,8/18/14,1
8/19/14,6001,Alameda County,CA,0,100,100,100,100,100,8/19/14,8/25/14,1
8/26/14,6001,Alameda County,CA,0,100,100,100,100,100,8/26/14,9/1/14,1
9/2/14,6001,Alameda County,CA,0,100,100,100,100,100,9/2/14,9/8/14,1
9/9/14,6001,Alameda County,CA,0,100,100,100,100,100,9/9/14,9/15/14,1
9/16/14,6001,Alameda County,CA,0,100,100,100,100,100,9/16/14,9/22/14,1
9/23/14,6001,Alameda County,CA,0,100,100,100,100,100,9/23/14,9/29/14,1
9/30/14,6001,Alameda County,CA,0,100,100,100,100,100,9/30/14,10/6/14,1
10/7/14,6001,Alameda County,CA,0,100,100,100,100,100,10/7/14,10/13/14,1
10/14/14,6001,Alameda County,CA,0,100,100,100,100,100,10/14/14,10/20/14,1
10/21/14,6001,Alameda County,CA,0,100,100,100,100,100,10/21/14,10/27/14,1
10/28/14,6001,Alameda County,CA,0,100,100,100,100,100,10/28/14,11/3/14,1
11/4/14,6001,Alameda County,CA,0,100,100,100,100,100,11/4/14,11/10/14,1
11/11/14,6001,Alameda County,CA,0,100,100,100,100,100,11/11/14,11/17/14,1
11/18/14,6001,Alameda County,CA,0,100,100,100,100,100,11/18/14,11/24/14,1
11/25/14,6001,Alameda County,CA,0,100,100,100,100,100,11/25/14,12/1/14,1
12/2/14,6001,Alameda County,CA,0,100,100,100,100,100,12/2/14,12/8/14,1
12/9/14,6001,Alameda County,CA,0,100,100,100,100,100,12/9/14,12/15/14,1
12/16/14,6001,Alameda County,CA,0,100,100,100,100,18.96,12/16/14,12/22/14,1
12/23/14,6001,Alameda County,CA,0,100,100,100,100,18.96,12/23/14,12/29/14,1
12/30/14,6001,Alameda County,CA,0,100,100,100,100,18.96,12/30/14,1/5/15,1
1/6/15,6001,Alameda County,CA,0,100,100,100,100,18.96,1/6/15,1/12/15,1
1/13/15,6001,Alameda County,CA,0,100,100,100,100,18.96,1/13/15,1/19/15,1
1/20/15,6001,Alameda County,CA,0,100,100,100,100,18.96,1/20/15,1/26/15,1
1/27/15,6001,Alameda County,CA,0,100,100,100,100,18.96,1/27/15,2/2/15,1
2/3/15,6001,Alameda County,CA,0,100,100,100,100,18.96,2/3/15,2/9/15,1
2/10/15,6001,Alameda County,CA,0,100,100,100,100,18.96,2/10/15,2/16/15,1
2/17/15,6001,Alameda County,CA,0,100,100,100,100,18.96,2/17/15,2/23/15,1
2/24/15,6001,Alameda County,CA,0,100,100,100,100,18.96,2/24/15,3/2/15,1
3/3/15,6001,Alameda County,CA,0,100,100,100,100,18.96,3/3/15,3/9/15,1
3/10/15,6001,Alameda County,CA,0,100,100,100,100,18.96,3/10/15,3/16/15,1
3/17/15,6001,Alameda County,CA,0,100,100,100,100,18.96,3/17/15,3/23/15,1
3/24/15,6001,Alameda County,CA,0,100,100,100,100,18.96,3/24/15,3/30/15,1
3/31/15,6001,Alameda County,CA,0,100,100,100,100,18.96,3/31/15,4/6/15,1
4/7/15,6001,Alameda County,CA,0,100,100,100,100,18.96,4/7/15,4/13/15,1
4/14/15,6001,Alameda County,CA,0,100,100,100,100,18.96,4/14/15,4/20/15,1
4/21/15,6001,Alameda County,CA,0,100,100,100,100,18.96,4/21/15,4/27/15,1
4/28/15,6001,Alameda County,CA,0,100,100,100,100,18.96,4/28/15,5/4/15,1
5/5/15,6001,Alameda County,CA,0,100,100,100,100,18.96,5/5/15,5/11/15,1
